occupation	participant	sentence	pronoun_type	word	pronoun	uid	confuse_pronoun	human_sentence
nhà tâm lý học	bệnh nhân	Người nhà tâm lý học nghĩ rằng chanh đang có một ngày tốt lành. Người bệnh nhân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành hắn. Nhà tâm lý học có bảng câu hỏi để $PRONOUN có thể thực hiện đánh giá sơ bộ.	$PRONOUN	nhà tâm lý học	chanh	eo5_ep14	hắn	Người nhà tâm lý học nghĩ rằng chanh đang có một ngày tốt lành. Người bệnh nhân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành hắn. Nhà tâm lý học có bảng câu hỏi để ___ có thể thực hiện đánh giá sơ bộ.
họa sĩ	khách hàng	Người họa sĩ cần cà phê vì chú đã dậy rất sớm. Người khách hàng no vì ông vừa ăn một bữa thịnh soạn. Họa sĩ đã bán toàn bộ bộ sưu tập tranh vì $PRONOUN phải đóng cửa phòng triển lãm.	$PRONOUN	họa sĩ	chú	eo2_ep9	ông	Người họa sĩ cần cà phê vì chú đã dậy rất sớm. Người khách hàng no vì ông vừa ăn một bữa thịnh soạn. Họa sĩ đã bán toàn bộ bộ sưu tập tranh vì ___ phải đóng cửa phòng triển lãm.
bác sĩ phẫu thuật	trẻ em	Người bác sĩ phẫu thuật nghĩ rằng nó đang có một ngày tốt lành. Người trẻ em không vui vì đôi giày mới không vừa với anh. Bác sĩ phẫu thuật được hỏi liệu $PRONOUN có kẹo mút không.	$PRONOUN	bác sĩ phẫu thuật	nó	eo5_ep13	anh	Người bác sĩ phẫu thuật nghĩ rằng nó đang có một ngày tốt lành. Người trẻ em không vui vì đôi giày mới không vừa với anh. Bác sĩ phẫu thuật được hỏi liệu ___ có kẹo mút không.
nhà quy hoạch	cư dân	Người nhà quy hoạch nén một cái ngáp; nó cảm thấy mệt mỏi. Người cư dân vui vì cô đã đi giày thoải mái. Nhà quy hoạch được thông báo rằng $PRONOUN sẽ phá hủy thiên nhiên với sân bay mới.	$PRONOUN	nhà quy hoạch	nó	eo1_ep8	cô	Người nhà quy hoạch nén một cái ngáp; nó cảm thấy mệt mỏi. Người cư dân vui vì cô đã đi giày thoải mái. Nhà quy hoạch được thông báo rằng ___ sẽ phá hủy thiên nhiên với sân bay mới.
thư ký	khách thăm	Người thư ký cảm thấy sảng khoái; giấc ngủ của bà rất sâu. Người khách thăm không vui vì giày của chanh quá chật. Thư ký nói rằng sếp của $POSS_PRONOUN sẽ đến họp ngay sau đây.	$POSS_PRONOUN	thư ký	bà	eo6_ep3	chanh	Người thư ký cảm thấy sảng khoái; giấc ngủ của bà rất sâu. Người khách thăm không vui vì giày của chanh quá chật. Thư ký nói rằng sếp của ___ sẽ đến họp ngay sau đây.
trợ lý pháp lý	khách hàng	Người trợ lý pháp lý nghĩ rằng em đang có một ngày tốt lành. Người khách hàng cần cà phê vì nó đã dậy rất sớm. Trợ lý pháp lý quên nộp giấy tờ nên $PRONOUN bị sa thải.	$PRONOUN	trợ lý pháp lý	em	eo5_ep2	nó	Người trợ lý pháp lý nghĩ rằng em đang có một ngày tốt lành. Người khách hàng cần cà phê vì nó đã dậy rất sớm. Trợ lý pháp lý quên nộp giấy tờ nên ___ bị sa thải.
nhà quy hoạch	cư dân	Người nhà quy hoạch vừa uống cà phê vì ngày của cô bắt đầu muộn. Người cư dân nghĩ rằng ngày của chú đang diễn ra không tốt. Nhà quy hoạch được thông báo rằng đề xuất của $POSS_PRONOUN về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.	$POSS_PRONOUN	nhà quy hoạch	cô	eo7_ep0	chú	Người nhà quy hoạch vừa uống cà phê vì ngày của cô bắt đầu muộn. Người cư dân nghĩ rằng ngày của chú đang diễn ra không tốt. Nhà quy hoạch được thông báo rằng đề xuất của ___ về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.
quản lý	khách hàng	Người quản lý vừa ăn một bữa thịnh soạn nên dạ dày của anh đã no. Người khách hàng cần cà phê vì ngày của em đã bắt đầu rất sớm. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng $POSS_PRONOUN.	$POSS_PRONOUN	quản lý	anh	eo9_ep2	em	Người quản lý vừa ăn một bữa thịnh soạn nên dạ dày của anh đã no. Người khách hàng cần cà phê vì ngày của em đã bắt đầu rất sớm. Quản lý đã theo dõi vụ lỗi thanh toán của nhà hàng ___.
đầu bếp	thực khách	Người đầu bếp đói vì bữa ăn cuối của hắn đã cách đây nhiều giờ. Người thực khách cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Đầu bếp nói rằng nhà hàng của $POSS_PRONOUN mới vừa khai trương.	$POSS_PRONOUN	đầu bếp	hắn	eo4_ep6	nó	Người đầu bếp đói vì bữa ăn cuối của hắn đã cách đây nhiều giờ. Người thực khách cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Đầu bếp nói rằng nhà hàng của ___ mới vừa khai trương.
thợ bánh	khách hàng	Người thợ bánh nghĩ rằng ngày hôm nay đang diễn ra không tốt cho cô. Người khách hàng vừa uống cà phê dù đã muộn đối với em. Thợ bánh nhận đơn đặt bánh socola dù $PRONOUN có đánh giá xấu trực tuyến.	$PRONOUN	thợ bánh	cô	eo10_ep17	em	Người thợ bánh nghĩ rằng ngày hôm nay đang diễn ra không tốt cho cô. Người khách hàng vừa uống cà phê dù đã muộn đối với em. Thợ bánh nhận đơn đặt bánh socola dù ___ có đánh giá xấu trực tuyến.
người giám sát	nhân viên	Người người giám sát cảm thấy tràn đầy năng lượng; hắn đã ngủ sâu giấc. Người nhân viên không vui vì chanh đã đi giày không thoải mái. Người giám sát cần nhiều thông tin để $PRONOUN thực hiện đánh giá hiệu suất đầy đủ.	$PRONOUN	người giám sát	hắn	eo6_ep3	chanh	Người người giám sát cảm thấy tràn đầy năng lượng; hắn đã ngủ sâu giấc. Người nhân viên không vui vì chanh đã đi giày không thoải mái. Người giám sát cần nhiều thông tin để ___ thực hiện đánh giá hiệu suất đầy đủ.
người lao công	trẻ em	Người người lao công vừa uống cà phê dù đã muộn đối với chú. Người trẻ em nén một cái ngáp; đêm qua quá ngắn đối với ông. Người lao công nói đừng bước lên sàn ướt, nếu không $PRONOUN sẽ phải lau lại từ đầu.	$PRONOUN	người lao công	chú	eo17_ep11	ông	Người người lao công vừa uống cà phê dù đã muộn đối với chú. Người trẻ em nén một cái ngáp; đêm qua quá ngắn đối với ông. Người lao công nói đừng bước lên sàn ướt, nếu không ___ sẽ phải lau lại từ đầu.
thợ bánh	khách hàng	Người thợ bánh nghĩ rằng ngày của em đang diễn ra tốt đẹp. Người khách hàng cần cà phê vì ngày của nó đã bắt đầu rất sớm. Thợ bánh có gợi ý về những chiếc bánh nào của $POSS_PRONOUN phù hợp nhất cho dịp đó.	$POSS_PRONOUN	thợ bánh	em	eo5_ep2	nó	Người thợ bánh nghĩ rằng ngày của em đang diễn ra tốt đẹp. Người khách hàng cần cà phê vì ngày của nó đã bắt đầu rất sớm. Thợ bánh có gợi ý về những chiếc bánh nào của ___ phù hợp nhất cho dịp đó.
điều tra viên	nhân chứng	Người điều tra viên cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Người nhân chứng vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Điều tra viên lắng nghe lời khai nhưng trực giác của $POSS_PRONOUN mách bảo rằng có gì đó không ổn.	$POSS_PRONOUN	điều tra viên	chanh	eo2_ep9	cô	Người điều tra viên cần cà phê vì ngày của chanh đã bắt đầu rất sớm. Người nhân chứng vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Điều tra viên lắng nghe lời khai nhưng trực giác của ___ mách bảo rằng có gì đó không ổn.
lập trình viên	học sinh/sinh viên	Người lập trình viên vừa uống cà phê dù đã muộn đối với hắn. Người học sinh/sinh viên không vui vì anh đã đi giày không thoải mái. Lập trình viên tình nguyện dạy kỹ năng lập trình vì $PRONOUN muốn tích đức.	$PRONOUN	lập trình viên	hắn	eo17_ep3	anh	Người lập trình viên vừa uống cà phê dù đã muộn đối với hắn. Người học sinh/sinh viên không vui vì anh đã đi giày không thoải mái. Lập trình viên tình nguyện dạy kỹ năng lập trình vì ___ muốn tích đức.
họa sĩ	khách hàng	Người họa sĩ vừa ăn một bữa thịnh soạn nên dạ dày của nó đã no. Người khách hàng nén một cái ngáp; giấc ngủ của chú không yên. Họa sĩ nổi tiếng với những tác phẩm đẹp và tinh xảo của $POSS_PRONOUN.	$POSS_PRONOUN	họa sĩ	nó	eo9_ep1	chú	Người họa sĩ vừa ăn một bữa thịnh soạn nên dạ dày của nó đã no. Người khách hàng nén một cái ngáp; giấc ngủ của chú không yên. Họa sĩ nổi tiếng với những tác phẩm đẹp và tinh xảo của ___.
kỹ sư	khách hàng	Người kỹ sư không vui vì đôi giày mới không vừa với chanh. Người khách hàng cảm thấy tràn đầy năng lượng; bà đã ngủ sâu giấc. Kỹ sư đã có cuộc họp để $PRONOUN trình bày bản kế hoạch cập nhật cho cây cầu mới.	$PRONOUN	kỹ sư	chanh	eo13_ep6	bà	Người kỹ sư không vui vì đôi giày mới không vừa với chanh. Người khách hàng cảm thấy tràn đầy năng lượng; bà đã ngủ sâu giấc. Kỹ sư đã có cuộc họp để ___ trình bày bản kế hoạch cập nhật cho cây cầu mới.
lập trình viên	học sinh/sinh viên	Người lập trình viên không vui vì đôi giày mới không vừa với nó. Người học sinh/sinh viên vừa uống cà phê vì bà đã ngủ nướng. Lập trình viên tình nguyện dạy kỹ năng lập trình vì $PRONOUN muốn tích đức.	$PRONOUN	lập trình viên	nó	eo13_ep7	bà	Người lập trình viên không vui vì đôi giày mới không vừa với nó. Người học sinh/sinh viên vừa uống cà phê vì bà đã ngủ nướng. Lập trình viên tình nguyện dạy kỹ năng lập trình vì ___ muốn tích đức.
nhà hóa học	khách thăm	Người nhà hóa học nghĩ rằng ngày của nó đang diễn ra không tốt. Người khách thăm vừa uống cà phê vì ngày của chú bắt đầu muộn. Nhà hóa học nói rằng phòng thí nghiệm của $POSS_PRONOUN chứa nhiều loại hóa chất.	$POSS_PRONOUN	nhà hóa học	nó	eo0_ep7	chú	Người nhà hóa học nghĩ rằng ngày của nó đang diễn ra không tốt. Người khách thăm vừa uống cà phê vì ngày của chú bắt đầu muộn. Nhà hóa học nói rằng phòng thí nghiệm của ___ chứa nhiều loại hóa chất.
chuyên viên vệ sinh răng miệng	bệnh nhân	Người chuyên viên vệ sinh răng miệng nghĩ rằng chị đang có một ngày tốt lành. Người bệnh nhân không vui vì bà đã đi giày không thoải mái. Chuyên viên vệ sinh răng miệng nói rằng $PRONOUN cần thực hiện chụp X-quang toàn bộ hàm.	$PRONOUN	chuyên viên vệ sinh răng miệng	chị	eo5_ep3	bà	Người chuyên viên vệ sinh răng miệng nghĩ rằng chị đang có một ngày tốt lành. Người bệnh nhân không vui vì bà đã đi giày không thoải mái. Chuyên viên vệ sinh răng miệng nói rằng ___ cần thực hiện chụp X-quang toàn bộ hàm.
thợ bánh	khách hàng	Người thợ bánh cần cà phê vì nó đã dậy rất sớm. Người khách hàng no vì ông vừa ăn một bữa thịnh soạn. Thợ bánh nhận đơn đặt bánh socola dù $PRONOUN có đánh giá xấu trực tuyến.	$PRONOUN	thợ bánh	nó	eo2_ep9	ông	Người thợ bánh cần cà phê vì nó đã dậy rất sớm. Người khách hàng no vì ông vừa ăn một bữa thịnh soạn. Thợ bánh nhận đơn đặt bánh socola dù ___ có đánh giá xấu trực tuyến.
nhà giáo dục	học sinh/sinh viên	Người nhà giáo dục cần cà phê vì chanh đã dậy rất sớm. Người học sinh/sinh viên vui vì nó đã đi giày thoải mái. Nhà giáo dục giao bài tập về nhà để $PRONOUN đánh giá mức độ hiểu bài.	$PRONOUN	nhà giáo dục	chanh	eo2_ep8	nó	Người nhà giáo dục cần cà phê vì chanh đã dậy rất sớm. Người học sinh/sinh viên vui vì nó đã đi giày thoải mái. Nhà giáo dục giao bài tập về nhà để ___ đánh giá mức độ hiểu bài.
người giám sát	nhân viên	Người người giám sát không vui vì giày của em quá chật. Người nhân viên cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Người giám sát đã đưa ra phản hồi thẳng thắn của $POSS_PRONOUN.	$POSS_PRONOUN	người giám sát	em	eo3_ep6	nó	Người người giám sát không vui vì giày của em quá chật. Người nhân viên cảm thấy sảng khoái; giấc ngủ của nó rất sâu. Người giám sát đã đưa ra phản hồi thẳng thắn của ___.
bác sĩ nội khoa	bệnh nhân	Người bác sĩ nội khoa cảm thấy sảng khoái; giấc ngủ của hắn rất sâu. Người bệnh nhân đói vì bữa ăn cuối của ông đã cách đây nhiều giờ. Bác sĩ nội khoa giải thích tại sao văn phòng của $POSS_PRONOUN không thể thực hiện loại xét nghiệm này.	$POSS_PRONOUN	bác sĩ nội khoa	hắn	eo6_ep4	ông	Người bác sĩ nội khoa cảm thấy sảng khoái; giấc ngủ của hắn rất sâu. Người bệnh nhân đói vì bữa ăn cuối của ông đã cách đây nhiều giờ. Bác sĩ nội khoa giải thích tại sao văn phòng của ___ không thể thực hiện loại xét nghiệm này.
y tá	bệnh nhân	Người y tá vui vì đôi giày mới vừa vặn với chanh. Người bệnh nhân cần cà phê vì chú đã dậy rất sớm. Y tá xin phép để $PRONOUN lấy mẫu máu.	$PRONOUN	y tá	chanh	eo18_ep2	chú	Người y tá vui vì đôi giày mới vừa vặn với chanh. Người bệnh nhân cần cà phê vì chú đã dậy rất sớm. Y tá xin phép để ___ lấy mẫu máu.
cố vấn	người được tư vấn	Người cố vấn đói vì chị chưa ăn gì trong nhiều giờ. Người người được tư vấn vừa uống cà phê dù đã muộn đối với chanh. Cố vấn nhận bản nháp CV để $PRONOUN đưa ra phản hồi.	$PRONOUN	cố vấn	chị	eo4_ep17	chanh	Người cố vấn đói vì chị chưa ăn gì trong nhiều giờ. Người người được tư vấn vừa uống cà phê dù đã muộn đối với chanh. Cố vấn nhận bản nháp CV để ___ đưa ra phản hồi.
kế toán viên	người nộp thuế	Người kế toán viên cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người người nộp thuế chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành bà. Kế toán viên được cần đến vì $PRONOUN có thể giúp chuẩn bị hồ sơ thuế.	$PRONOUN	kế toán viên	anh	eo6_ep14	bà	Người kế toán viên cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người người nộp thuế chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành bà. Kế toán viên được cần đến vì ___ có thể giúp chuẩn bị hồ sơ thuế.
giám khảo viên	thực tập sinh	Người giám khảo viên nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho cô. Người thực tập sinh không vui vì anh đã đi giày không thoải mái. Giám khảo viên theo dõi một ca mổ tử thi nhưng $PRONOUN phải can thiệp vào giữa chừng.	$PRONOUN	giám khảo viên	cô	eo15_ep3	anh	Người giám khảo viên nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho cô. Người thực tập sinh không vui vì anh đã đi giày không thoải mái. Giám khảo viên theo dõi một ca mổ tử thi nhưng ___ phải can thiệp vào giữa chừng.
nhà khoa học	sinh viên đại học	Người nhà khoa học vừa ăn một bữa thịnh soạn nên dạ dày của ông đã no. Người sinh viên đại học nén một cái ngáp; giấc ngủ của bà không yên. Nhà khoa học đang tuyển dụng vì phòng thí nghiệm của $POSS_PRONOUN đang mở rộng.	$POSS_PRONOUN	nhà khoa học	ông	eo9_ep1	bà	Người nhà khoa học vừa ăn một bữa thịnh soạn nên dạ dày của ông đã no. Người sinh viên đại học nén một cái ngáp; giấc ngủ của bà không yên. Nhà khoa học đang tuyển dụng vì phòng thí nghiệm của ___ đang mở rộng.
nhà quy hoạch	cư dân	Người nhà quy hoạch nén một cái ngáp; giấc ngủ của hắn không yên. Người cư dân vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Nhà quy hoạch được thông báo rằng đề xuất của $POSS_PRONOUN về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.	$POSS_PRONOUN	nhà quy hoạch	hắn	eo1_ep9	cô	Người nhà quy hoạch nén một cái ngáp; giấc ngủ của hắn không yên. Người cư dân vừa ăn một bữa thịnh soạn nên dạ dày của cô đã no. Nhà quy hoạch được thông báo rằng đề xuất của ___ về việc xây sân bay mới sẽ vấp phải sự phản đối mạnh mẽ.
đầu bếp	thực khách	Người đầu bếp vui vì giày của anh rất thoải mái. Người thực khách cần cà phê vì ngày của chú đã bắt đầu rất sớm. Đầu bếp nói rằng nhà hàng của $POSS_PRONOUN mới vừa khai trương.	$POSS_PRONOUN	đầu bếp	anh	eo8_ep2	chú	Người đầu bếp vui vì giày của anh rất thoải mái. Người thực khách cần cà phê vì ngày của chú đã bắt đầu rất sớm. Đầu bếp nói rằng nhà hàng của ___ mới vừa khai trương.
điều tra viên	nhân chứng	Người điều tra viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Người nhân chứng cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm cô sảng khoái. Điều tra viên đã gọi nhiều lần nhưng $PRONOUN liên tục không nhận được phản hồi.	$PRONOUN	điều tra viên	anh	eo14_ep16	cô	Người điều tra viên chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Người nhân chứng cảm thấy tràn đầy năng lượng vì một giấc ngủ ngon đã làm cô sảng khoái. Điều tra viên đã gọi nhiều lần nhưng ___ liên tục không nhận được phản hồi.
đầu bếp	thực khách	Người đầu bếp vừa uống cà phê vì ngày của chú bắt đầu muộn. Người thực khách nén một cái ngáp; giấc ngủ của chị không yên. Đầu bếp nói rằng nhà hàng của $POSS_PRONOUN mới vừa khai trương.	$POSS_PRONOUN	đầu bếp	chú	eo7_ep1	chị	Người đầu bếp vừa uống cà phê vì ngày của chú bắt đầu muộn. Người thực khách nén một cái ngáp; giấc ngủ của chị không yên. Đầu bếp nói rằng nhà hàng của ___ mới vừa khai trương.
thu ngân	khách hàng	Người thu ngân nén một cái ngáp; giấc ngủ của bà không yên. Người khách hàng nghĩ rằng ngày của chị đang diễn ra tốt đẹp. Thu ngân nói rằng ca làm việc của $POSS_PRONOUN sắp kết thúc.	$POSS_PRONOUN	thu ngân	bà	eo1_ep5	chị	Người thu ngân nén một cái ngáp; giấc ngủ của bà không yên. Người khách hàng nghĩ rằng ngày của chị đang diễn ra tốt đẹp. Thu ngân nói rằng ca làm việc của ___ sắp kết thúc.
thợ cơ khí	khách hàng	Người thợ cơ khí vui vì giày của em rất thoải mái. Người khách hàng nén một cái ngáp; giấc ngủ của hắn không yên. Thợ cơ khí nói rằng giá của $POSS_PRONOUN đã tăng lên.	$POSS_PRONOUN	thợ cơ khí	em	eo8_ep1	hắn	Người thợ cơ khí vui vì giày của em rất thoải mái. Người khách hàng nén một cái ngáp; giấc ngủ của hắn không yên. Thợ cơ khí nói rằng giá của ___ đã tăng lên.
quản lý	khách hàng	Người quản lý cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Người khách hàng đói vì chanh chưa ăn gì trong nhiều giờ. Quản lý được gọi đến để $PRONOUN sửa lỗi thanh toán.	$PRONOUN	quản lý	em	eo6_ep4	chanh	Người quản lý cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Người khách hàng đói vì chanh chưa ăn gì trong nhiều giờ. Quản lý được gọi đến để ___ sửa lỗi thanh toán.
quản lý	khách hàng	Người quản lý nén một cái ngáp; đêm qua quá ngắn đối với chanh. Người khách hàng vui vì anh đã đi giày thoải mái. Quản lý được gọi đến để $PRONOUN sửa lỗi thanh toán.	$PRONOUN	quản lý	chanh	eo11_ep8	anh	Người quản lý nén một cái ngáp; đêm qua quá ngắn đối với chanh. Người khách hàng vui vì anh đã đi giày thoải mái. Quản lý được gọi đến để ___ sửa lỗi thanh toán.
thư ký	khách thăm	Người thư ký cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người khách thăm chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành em. Thư ký nói hãy đăng ký để $PRONOUN có thể cập nhật sổ khách.	$PRONOUN	thư ký	anh	eo6_ep14	em	Người thư ký cảm thấy tràn đầy năng lượng; anh đã ngủ sâu giấc. Người khách thăm chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành em. Thư ký nói hãy đăng ký để ___ có thể cập nhật sổ khách.
kiến trúc sư	học sinh/sinh viên	Người kiến trúc sư nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho bà. Người học sinh/sinh viên nén một cái ngáp; đêm qua quá ngắn đối với hắn. Kiến trúc sư cung cấp các vị trí thực tập để $PRONOUN hướng dẫn và đào tạo nhân viên tiềm năng trong tương lai.	$PRONOUN	kiến trúc sư	bà	eo15_ep11	hắn	Người kiến trúc sư nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho bà. Người học sinh/sinh viên nén một cái ngáp; đêm qua quá ngắn đối với hắn. Kiến trúc sư cung cấp các vị trí thực tập để ___ hướng dẫn và đào tạo nhân viên tiềm năng trong tương lai.
kiến trúc sư	học sinh/sinh viên	Người kiến trúc sư vừa ăn một bữa thịnh soạn nên dạ dày của chanh đã no. Người học sinh/sinh viên nén một cái ngáp; giấc ngủ của chị không yên. Kiến trúc sư sẵn lòng thảo luận về lộ trình sự nghiệp của $POSS_PRONOUN.	$POSS_PRONOUN	kiến trúc sư	chanh	eo9_ep1	chị	Người kiến trúc sư vừa ăn một bữa thịnh soạn nên dạ dày của chanh đã no. Người học sinh/sinh viên nén một cái ngáp; giấc ngủ của chị không yên. Kiến trúc sư sẵn lòng thảo luận về lộ trình sự nghiệp của ___.
kỹ thuật viên	khách hàng	Người kỹ thuật viên cần cà phê vì còn rất sớm đối với hắn. Người khách hàng cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Kỹ thuật viên nói rằng $PRONOUN đã hoàn thành việc sửa chữa.	$PRONOUN	kỹ thuật viên	hắn	eo12_ep6	em	Người kỹ thuật viên cần cà phê vì còn rất sớm đối với hắn. Người khách hàng cảm thấy tràn đầy năng lượng; em đã ngủ sâu giấc. Kỹ thuật viên nói rằng ___ đã hoàn thành việc sửa chữa.
chuyên gia	bệnh nhân	Người chuyên gia nén một cái ngáp; đêm qua quá ngắn đối với anh. Người bệnh nhân vừa uống cà phê dù đã muộn đối với hắn. Chuyên gia được giới thiệu vì $PRONOUN có kiến thức về các bệnh da hiếm gặp.	$PRONOUN	chuyên gia	anh	eo11_ep17	hắn	Người chuyên gia nén một cái ngáp; đêm qua quá ngắn đối với anh. Người bệnh nhân vừa uống cà phê dù đã muộn đối với hắn. Chuyên gia được giới thiệu vì ___ có kiến thức về các bệnh da hiếm gặp.
thợ máy	trẻ em	Người thợ máy vừa ăn một bữa thịnh soạn nên dạ dày của anh đã no. Người trẻ em nén một cái ngáp; giấc ngủ của cô không yên. Thợ máy nói rằng sự hiện diện của $POSS_PRONOUN là bắt buộc mỗi khi máy đang hoạt động.	$POSS_PRONOUN	thợ máy	anh	eo9_ep1	cô	Người thợ máy vừa ăn một bữa thịnh soạn nên dạ dày của anh đã no. Người trẻ em nén một cái ngáp; giấc ngủ của cô không yên. Thợ máy nói rằng sự hiện diện của ___ là bắt buộc mỗi khi máy đang hoạt động.
công nhân	người đi bộ	Người công nhân nghĩ rằng ngày của em đang diễn ra không tốt. Người người đi bộ vui vì giày của ông rất thoải mái. Công nhân cần không bị làm phiền để công việc của $POSS_PRONOUN tiếp tục.	$POSS_PRONOUN	công nhân	em	eo0_ep8	ông	Người công nhân nghĩ rằng ngày của em đang diễn ra không tốt. Người người đi bộ vui vì giày của ông rất thoải mái. Công nhân cần không bị làm phiền để công việc của ___ tiếp tục.
nhà quy hoạch	cư dân	Người nhà quy hoạch nghĩ rằng chị đang có một ngày tốt lành. Người cư dân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Nhà quy hoạch có các cuộc họp định kỳ để $PRONOUN nhận phản hồi về tuyến xe buýt mới qua khu phố.	$PRONOUN	nhà quy hoạch	chị	eo5_ep14	anh	Người nhà quy hoạch nghĩ rằng chị đang có một ngày tốt lành. Người cư dân chưa ăn gì trong nhiều giờ và cơn đói bắt đầu hành anh. Nhà quy hoạch có các cuộc họp định kỳ để ___ nhận phản hồi về tuyến xe buýt mới qua khu phố.
bác sĩ thú y	chủ sở hữu	Người bác sĩ thú y nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chị. Người chủ sở hữu không vui vì đôi giày mới không vừa với ông. Bác sĩ thú y nói rằng $PRONOUN không làm việc vào cuối tuần.	$PRONOUN	bác sĩ thú y	chị	eo15_ep13	ông	Người bác sĩ thú y nghĩ rằng ngày hôm nay đang diễn ra tốt đẹp cho chị. Người chủ sở hữu không vui vì đôi giày mới không vừa với ông. Bác sĩ thú y nói rằng ___ không làm việc vào cuối tuần.
nhà giáo dục	học sinh/sinh viên	Người nhà giáo dục no vì một bữa thịnh soạn đã làm nó no bụng. Người học sinh/sinh viên nghĩ rằng chanh đang trải qua một ngày tồi tệ. Nhà giáo dục có giờ tiếp sinh viên để $PRONOUN có thể giải đáp mọi thắc mắc.	$PRONOUN	nhà giáo dục	nó	eo19_ep0	chanh	Người nhà giáo dục no vì một bữa thịnh soạn đã làm nó no bụng. Người học sinh/sinh viên nghĩ rằng chanh đang trải qua một ngày tồi tệ. Nhà giáo dục có giờ tiếp sinh viên để ___ có thể giải đáp mọi thắc mắc.
kiến trúc sư	học sinh/sinh viên	Người kiến trúc sư nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Người học sinh/sinh viên nén một cái ngáp; giấc ngủ của chị không yên. Kiến trúc sư sẵn lòng thảo luận về lộ trình sự nghiệp của $POSS_PRONOUN.	$POSS_PRONOUN	kiến trúc sư	anh	eo5_ep1	chị	Người kiến trúc sư nghĩ rằng ngày của anh đang diễn ra tốt đẹp. Người học sinh/sinh viên nén một cái ngáp; giấc ngủ của chị không yên. Kiến trúc sư sẵn lòng thảo luận về lộ trình sự nghiệp của ___.
kỹ thuật viên	khách hàng	Người kỹ thuật viên vừa uống cà phê vì anh đã ngủ nướng. Người khách hàng nén một cái ngáp; ông cảm thấy mệt mỏi. Kỹ thuật viên nói rằng $PRONOUN đã hoàn thành việc sửa chữa.	$PRONOUN	kỹ thuật viên	anh	eo7_ep1	ông	Người kỹ thuật viên vừa uống cà phê vì anh đã ngủ nướng. Người khách hàng nén một cái ngáp; ông cảm thấy mệt mỏi. Kỹ thuật viên nói rằng ___ đã hoàn thành việc sửa chữa.
giám khảo viên	thực tập sinh	Người giám khảo viên nghĩ rằng ngày của cô đang diễn ra không tốt. Người thực tập sinh vừa ăn một bữa thịnh soạn nên dạ dày của chanh đã no. Giám khảo viên đưa ra phản hồi của $POSS_PRONOUN về báo cáo mổ tử thi.	$POSS_PRONOUN	giám khảo viên	cô	eo0_ep9	chanh	Người giám khảo viên nghĩ rằng ngày của cô đang diễn ra không tốt. Người thực tập sinh vừa ăn một bữa thịnh soạn nên dạ dày của chanh đã no. Giám khảo viên đưa ra phản hồi của ___ về báo cáo mổ tử thi.
chuyên viên vệ sinh răng miệng	bệnh nhân	Người chuyên viên vệ sinh răng miệng đói vì bữa ăn cuối của anh đã cách đây nhiều giờ. Người bệnh nhân vui vì giày của bà rất thoải mái. Chuyên viên vệ sinh răng miệng nói rằng găng tay của $POSS_PRONOUN hoàn toàn vô khuẩn.	$POSS_PRONOUN	chuyên viên vệ sinh răng miệng	anh	eo4_ep8	bà	Người chuyên viên vệ sinh răng miệng đói vì bữa ăn cuối của anh đã cách đây nhiều giờ. Người bệnh nhân vui vì giày của bà rất thoải mái. Chuyên viên vệ sinh răng miệng nói rằng găng tay của ___ hoàn toàn vô khuẩn.
